scn,pol,ind,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
dxdt,pa,sanit,59.80000017,60.23130538,60.66878925,61.11243474,61.56221721,62.01810383,62.48005315,62.94801468,63.42192849,63.90172475,64.38732336,64.87863353,65.37555336,65.87796946,66.38575659,66.89877726,67.41688144,67.93990624,68.46767559,69
dx,tnd,gdp,7273.699038,7558.393491,8000.289958,8341.97405,8685.425829,9091.07524,9530.489057,9899.782403,10280.4958,10669.78149,11060.08932,11439.46192,11780.5525,12084.69746,12367.51348,12604.7534,12774.24714,12944.33622,13158.974,13476.52719
dx,tnd,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.21090658,17.68297672,16.27657,14.47564678,12.87398695,11.44954297,10.18270679,9.056039866,8.054033149,7.162893596,6.370354296,5.66550561,5.038645
dx,tnd,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.458012573,0.451177689,0.4444448,0.438954509,0.43353204,0.428176556,0.422887229,0.417663242,0.412503788,0.407408069,0.402375298,0.397404698,0.3924955
dx,tnd,edc,28.01218595,29.168031,30.40007753,31.71193193,33.10695,34.58812636,36.15796953,37.81836324,39.57041636,41.41430488,43.34911123,45.3726672,47.48140871,49.6702516,51.93249852,54.25978731,56.64209085,59.06777668,61.52373257,63.99556075
dx,tnd,u5m,63,61.51315678,59.81800611,57.94848979,56.18626657,54.54116344,52.95564278,51.51935677,50.15075629,48.86170613,47.64946353,46.51044198,45.44141863,44.43838271,43.49796774,42.61615678,41.78817771,41.01308875,40.29389143,39.63331191
dx,tnd,mtm,229,217.1191785,206.1378106,195.8218534,186.2207023,177.3036215,169.0353649,161.378069,154.2927334,147.7403433,141.6826927,136.0829616,130.9061005,126.1190632,121.6909265,117.5929249,113.7984256,110.2828606,107.0236321,104
dx,tnd,water,82.2,82.21326692,82.45848497,82.91140485,83.36412911,83.80197517,84.27649015,84.68973119,85.11978519,85.54919704,85.97534194,86.39642155,86.81005816,87.21503556,87.60933954,87.99224134,88.36487953,88.72182839,89.04915161,89.33152549
dx,tnd,sanit,59.8,60.23130538,60.66878925,61.11243474,61.56221721,62.01810383,62.48005315,62.94801468,63.42192849,63.90172475,64.38732336,64.87863353,65.37555336,65.87796946,66.38575659,66.89877726,67.41688144,67.93990624,68.46767559,69
dxdt,tnd,gdp,7273.699038,7556.473041,7990.921451,8327.964596,8665.953802,9068.154181,9498.676304,9848.119787,10209.97089,10582.9586,10956.89291,11320.7831,11650.06943,11935.54961,12198.0576,12417.35468,12569.15033,12688.41044,12837.66994,13084.57818
dxdt,tnd,pov,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,20.87086,19.31982571,17.88405774,16.55499,14.86886547,13.35447261,11.99432055,10.77269987,9.675501176,8.690052086,7.804970914,7.010035195,6.296063621,5.65481
dxdt,tnd,gini,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.464951,0.458144512,0.451437665,0.444829,0.439762648,0.434754,0.429802397,0.42490719,0.420067736,0.415283401,0.410553557,0.405877584,0.401254867,0.3966848
dxdt,tnd,edc,28.01218595,29.168031,30.40007753,31.71193193,33.10695,34.58812636,36.15796953,37.81836324,39.57041636,41.41430488,43.34911123,45.3726672,47.48140871,49.6702516,51.93249852,54.25978731,56.64209085,59.06777668,61.52373257,63.99556075
