sim,ind,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040
REF,cap_acumulada_cogen,0,0,0,0,0,0,1.96,4.86,7.87,10.61,14.04,17.15,20.29,23.68,26.82,30.2,33.59,36.97,40.6,44.23,47.85,51.48,55.37,59.24,63.98,68.47,72.61
REF,prod_elec_bio,452,461,470,479,488,498,507,517,528,537,548,558,569,582,593,606,618,631,644,657,671,684,698,712,730,746,761
REF_AZ100,dem_sub,405,416,427,437,444,451,459,464,467,469,470,474,475,479,484,488,493,498,502,506,510,512,513,514,515,516,516
REF_AZ100,dem_sup,247,249,252,254,256,258,259,260,261,262,262,264,265,266,269,272,275,278,281,284,287,291,295,298,301,304,307
REF_AZ100,dem_sub_alm,0,0,0,0,3.936,9.293,15.292,18.788,20.54,20.946,20.341,22.527,21.247,22.944,25.693,27.939,30.861,33.387,35.415,37.047,38.285,38.453,37.817,36.865,35.964,34.434,32.322
REF_AZ100,dem_riego,384,395,404,413,418,423,428,431,431,430,428,430,428,429,433,436,440,444,447,449,451,452,453,453,453,451,449
REF_AZ100,dem_riego_sub,282,292,301,309,315,320,326,330,331,332,331,334,333,335,338,341,344,347,349,352,353,354,353,352,351,350,348
REF_AZ100,dem_riego_sup,102,103,103,103,103,103,102,101,100,98,97,96,95,94,95,95,96,97,97,97,98,99,100,101,102,102,101
REF_AZ100,demanda_no_agricola,268,271,275,279,282,286,290,293,297,301,304,308,312,316,320,324,328,333,337,341,346,350,355,359,364,369,373
REF_AZ100,demanda_total,652,666,679,691,700,709,718,724,728,731,733,738,740,745,753,760,768,776,783,790,797,802,808,813,817,820,823
REF_AZ100,frijoles,1.6945,1.7259,1.7516,1.7778,1.8043,1.8312,1.8586,1.8863,1.9145,1.943,1.972,2.0015,2.0313,2.0617,2.0924,2.1237,2.1554,2.1875,2.2202,2.2533,2.287,2.3211,2.3557,2.3909,2.4266,2.4628,2.4995
REF_AZ100,cafe,1.3667,1.3939,1.4217,1.4499,1.4788,1.5082,1.5382,1.5689,1.6001,1.6319,1.6644,1.6975,1.7313,1.7658,1.8009,1.8367,1.8733,1.9106,1.9486,1.9874,2.0269,2.0672,2.1084,2.1503,2.1931,2.2368,2.2813
REF_AZ100,otros_cultivos,7.9506,8.0693,8.1897,8.312,8.436,8.5619,8.6897,8.8194,8.951,9.0846,9.2202,9.3578,9.4975,9.6393,9.7831,9.9292,10.0774,10.2278,10.3804,10.5353,10.6926,10.8522,11.0142,11.1785,11.3454,11.5147,11.6866
