demand,sw,gw,climate,indicator,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
REF,100%,100%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,100%,20%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,100%,60%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,20%,100%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,20%,20%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,20%,60%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,60%,60%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,60%,100%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
REF,60%,20%,0,Total_Demand_Household,3261.043874,3418.205128,3583.002677,3755.81676,3937.047,4119.734175,4311.00904,4511.286601,4721.002414,4940.613617,5159.685931,5388.64572,5627.952879,5878.089214,6139.559509,6729.351038,7357.467956,8026.160356,8737.803809,9494.906126,10276.32108,11104.74808,11982.77832,12913.13909,13898.70074,14906.57815,15970.64766,17093.80863,18279.10326,19529.7235,20849.01809,22240.50008,23707.8546,25254.94704,26885.83158
HIGH,100%,100%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,100%,20%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
HIGH,100%,60%,0,Total_Demand_Household,9784.728944,11381.87495,13109.17919,14975.71338,16991.13864,19132.21157,21435.3478,23911.29167,26571.45626,29427.96347,32425.25861,35631.75691,39060.51973,42725.37898,46640.98096,48565.24026,50572.51138,52666.45077,54850.87743,57129.7802,59370.18141,61702.48827,64130.54422,66658.35476,69290.09419,71857.41061,74524.31172,77294.72891,80172.74977,83162.62436,86268.77159,89495.78603,92848.44488,96331.7152,99950.76154
